start_date,country_name,iso3c,duration,geo_scope,shutdown_extent
2017-06-12T00:00:00Z,India,IND,7,local,NA
2017-06-12T00:00:00Z,Algeria,DZA,7,national,NA
2017-06-18T00:00:00Z,India,IND,46,local,NA
2017-06-30T00:00:00Z,India,IND,5,regional,NA
2017-07-01T00:00:00Z,India,IND,NA,local,NA
2017-07-05T00:00:00Z,India,IND,5,regional,NA
2017-07-06T00:00:00Z,India,IND,3,regional,full network
2017-07-10T00:00:00Z,India,IND,1,regional,full network
2017-07-11T00:00:00Z,India,IND,3,regional,NA
2017-07-11T00:00:00Z,China,CHN,NA,national,service-based
2017-07-12T00:00:00Z,Syria,SYR,NA,national,full network
2017-07-14T00:00:00Z,India,IND,4,regional,NA
2017-07-16T00:00:00Z,India,IND,NA,regional,full network
2017-07-16T00:00:00Z,Pakistan,PAK,1,regional,NA
2017-07-20T00:00:00Z,Morocco,MAR,NA,local,full network
2017-07-20T00:00:00Z,India,IND,NA,regional,full network
2017-07-21T00:00:00Z,India,IND,4,regional,NA
2017-07-28T00:00:00Z,Syria,SYR,15,national,full network
2017-07-29T00:00:00Z,North Korea,PRK,NA,local,NA
2017-07-30T00:00:00Z,India,IND,3,regional,full network
2017-08-05T00:00:00Z,India,IND,NA,local,full network
2017-08-07T00:00:00Z,Congo - Kinshasa,COD,NA,national,NA
2017-08-09T00:00:00Z,India,IND,7,local,full network
2017-08-10T00:00:00Z,India,IND,2,local,full network
2017-08-13T00:00:00Z,India,IND,NA,regional,NA
2017-08-14T00:00:00Z,Pakistan,PAK,NA,local,NA
2017-08-15T00:00:00Z,India,IND,NA,regional,NA
2017-08-16T00:00:00Z,India,IND,5,local,full network
2017-08-24T00:00:00Z,India,IND,5,national,full network
2017-08-25T00:00:00Z,India,IND,2,regional,full network
2017-08-26T00:00:00Z,India,IND,NA,local,full network
2017-08-26T00:00:00Z,Iraq,IRQ,NA,national,NA
2017-09-01T00:00:00Z,India,IND,1,local,full network
2017-09-02T00:00:00Z,India,IND,NA,regional,full network
2017-09-04T00:00:00Z,India,IND,NA,local,full network
2017-09-05T00:00:00Z,India,IND,NA,regional,full network
2017-09-05T00:00:00Z,Togo,TGO,63,national,NA
2017-09-08T00:00:00Z,India,IND,2,regional,full network
2017-09-09T00:00:00Z,India,IND,NA,local,full network
2017-09-09T00:00:00Z,India,IND,NA,local,full network
2017-09-11T00:00:00Z,India,IND,NA,regional,full network
2017-09-21T00:00:00Z,India,IND,4,local,full network
2017-09-26T00:00:00Z,India,IND,NA,local,full network
2017-09-28T00:00:00Z,India,IND,NA,regional,full network
2017-09-28T00:00:00Z,Pakistan,PAK,6,local,service-based
2017-09-30T00:00:00Z,Cameroon,CMR,NA,regional,service-based
2017-10-01T00:00:00Z,India,IND,NA,regional,full network
2017-10-23T00:00:00Z,Pakistan,PAK,NA,local,full network
2017-10-27T00:00:00Z,Equatorial Guinea,GNQ,15,national,service-based
2017-11-02T00:00:00Z,India,IND,NA,local,full network
2017-11-09T00:00:00Z,India,IND,NA,local,full network
2017-11-10T00:00:00Z,Pakistan,PAK,NA,local,full network
2017-11-12T00:00:00Z,Equatorial Guinea,GNQ,NA,national,full network
2017-11-13T00:00:00Z,Somalia,SOM,NA,regional,service-based
2017-11-23T00:00:00Z,India,IND,NA,local,full network
2017-11-24T00:00:00Z,India,IND,2,regional,full network
2017-11-25T00:00:00Z,Pakistan,PAK,1,local,service-based
2017-12-01T00:00:00Z,Pakistan,PAK,NA,local,full network
2017-12-03T00:00:00Z,India,IND,NA,regional,NA
2017-12-07T00:00:00Z,Yemen,YEM,7,national,NA
2017-12-08T00:00:00Z,India,IND,NA,regional,full network
2017-12-11T00:00:00Z,India,IND,NA,local,full network
2017-12-12T00:00:00Z,Ethiopia,ETH,NA,regional,service-based
2017-12-13T00:00:00Z,India,IND,1,local,full network
2017-12-16T00:00:00Z,India,IND,NA,regional,full network
2017-12-17T00:00:00Z,India,IND,NA,regional,full network
2017-12-18T00:00:00Z,India,IND,3,regional,full network
2017-12-20T00:00:00Z,Iraq,IRQ,NA,regional,full network
2017-12-26T00:00:00Z,India,IND,NA,local,full network
2017-12-30T00:00:00Z,Iran,IRN,14,national,service-based
2017-12-31T00:00:00Z,India,IND,1,regional,full network
2017-12-31T00:00:00Z,India,IND,NA,local,full network
2017-12-31T00:00:00Z,India,IND,2,local,NA
2009-01-01T00:00:00Z,Pakistan,PAK,3411,local,NA
2010-05-01T00:00:00Z,Yemen,YEM,NA,national,service-based
2018-01-01T00:00:00Z,Ethiopia,ETH,105,regional,NA
2018-01-02T00:00:00Z,India,IND,7,local,NA
2018-01-03T00:00:00Z,India,IND,NA,local,full network
2018-01-03T00:00:00Z,India,IND,1,local,full network
2018-01-08T00:00:00Z,India,IND,NA,local,NA
2018-01-09T00:00:00Z,Philippines,PHL,1,local,NA
2018-01-10T00:00:00Z,India,IND,NA,regional,full network
2018-01-21T00:00:00Z,Congo - Kinshasa,COD,3,regional,full network
2018-01-24T00:00:00Z,India,IND,NA,regional,NA
2018-01-25T00:00:00Z,Chad,TCD,1,national,full network
2018-01-25T00:00:00Z,India,IND,NA,regional,NA
2018-01-27T00:00:00Z,India,IND,1,regional,full network
2018-01-28T00:00:00Z,India,IND,NA,regional,NA
2018-01-28T00:00:00Z,India,IND,NA,regional,NA
2018-02-03T00:00:00Z,India,IND,1,local,NA
2018-02-08T00:00:00Z,South Korea,KOR,3,local,full network
2018-02-11T00:00:00Z,India,IND,NA,regional,full network
2018-02-11T00:00:00Z,Bangladesh,BGD,0,national,NA
2018-02-11T00:00:00Z,Bangladesh,BGD,NA,national,NA
2018-02-12T00:00:00Z,India,IND,1,local,NA
2018-02-16T00:00:00Z,India,IND,1,local,NA
2018-02-18T00:00:00Z,India,IND,1,local,NA
2018-02-25T00:00:00Z,Congo - Kinshasa,COD,0,national,full network
2018-03-01T00:00:00Z,India,IND,1,local,NA
2018-03-04T00:00:00Z,India,IND,2,regional,NA
2018-03-07T00:00:00Z,Ethiopia,ETH,40,regional,full network
2018-03-07T00:00:00Z,Sri Lanka,LKA,8,national,service-based
2018-03-08T00:00:00Z,India,IND,1,local,full network
2018-03-12T00:00:00Z,India,IND,1,local,NA
2018-03-15T00:00:00Z,Kazakhstan,KAZ,NA,national,NA
2018-03-17T00:00:00Z,India,IND,2,local,full network
2018-03-18T00:00:00Z,India,IND,1,local,full network
2018-03-21T00:00:00Z,Pakistan,PAK,0,local,NA
2018-03-23T00:00:00Z,Pakistan,PAK,0,local,NA
2018-03-24T00:00:00Z,India,IND,2,local,full network
2018-03-24T00:00:00Z,India,IND,1,regional,NA
2018-03-24T00:00:00Z,India,IND,1,local,NA
2018-03-25T00:00:00Z,India,IND,NA,regional,NA
2018-03-26T00:00:00Z,India,IND,1,local,full network
2018-03-28T00:00:00Z,Chad,TCD,NA,national,full network
2018-03-28T00:00:00Z,India,IND,NA,local,NA
